Temporada,Liga,Posicion,Equipo,Partidos_Jugados,Ganados,Empatados,Perdidos,Goles_a_favor,Goles_en_contra,Puntos,xG_Esperado
2021/2022,Bundesliga,15,VfB Stuttgart,34,7,12,15,41,59,33,47.91
2021/2022,Bundesliga,16,Hertha Berlin,34,9,6,19,37,71,33,37.89
2021/2022,Bundesliga,17,Arminia Bielefeld,34,5,13,16,27,53,28,27.22
2021/2022,Bundesliga,18,Greuther Fuerth,34,3,9,22,28,82,18,30.64
2021/2022,Ligue 1,1,Paris Saint Germain,38,26,8,4,90,36,86,82.34
2021/2022,Ligue 1,2,Marseille,38,21,8,9,63,38,71,59.87
2021/2022,Ligue 1,3,Monaco,38,20,9,9,65,40,69,63.58
2021/2022,Ligue 1,4,Rennes,38,20,6,12,82,40,66,68.24
2021/2022,Ligue 1,5,Nice,38,20,7,11,52,36,66,59.6
2021/2022,Ligue 1,6,Strasbourg,38,17,12,9,60,43,63,61.2
2021/2022,Ligue 1,7,Lens,38,17,11,10,62,48,62,52.24
2021/2022,Ligue 1,8,Lyon,38,17,11,10,66,51,61,73.32
2021/2022,Ligue 1,9,Nantes,38,15,10,13,55,48,55,45.77
2021/2022,Ligue 1,10,Lille,38,14,13,11,48,48,55,56.39
2021/2022,Ligue 1,11,Brest,38,13,9,16,49,57,48,44.85
2021/2022,Ligue 1,12,Reims,38,11,13,14,43,44,46,40.01
2021/2022,Ligue 1,13,Montpellier,38,12,7,19,49,61,43,42.47
2021/2022,Ligue 1,14,Angers,38,10,11,17,44,55,41,45.21
2021/2022,Ligue 1,15,Troyes,38,9,11,18,37,53,38,39.66
2021/2022,Ligue 1,16,Lorient,38,8,12,18,35,63,36,39.32
2021/2022,Ligue 1,17,Clermont Foot,38,9,9,20,38,69,36,42.07
2021/2022,Ligue 1,18,Saint-Etienne,38,7,11,20,42,77,32,40.18
2021/2022,Ligue 1,19,Metz,38,6,13,19,35,69,31,30.15
2021/2022,Ligue 1,20,Bordeaux,38,6,13,19,52,91,31,46.28
