league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2425,2024-09-22 St Pauli-RB Leipzig,2024-09-22,19:30,St Pauli,0–0,RB Leipzig,29251,Millerntor-Stadion,Robert Hartmann,/en/matches/4e23f1b6/St-Pauli-RB-Leipzig-September-22-2024-Bundesliga
GER-Bundesliga,2425,2024-09-22 Stuttgart-Dortmund,2024-09-22,17:30,Stuttgart,5–1,Dortmund,60000,MHPArena,Florian Badstübner,/en/matches/ddfcf507/Stuttgart-Dortmund-September-22-2024-Bundesliga
GER-Bundesliga,2425,2024-09-27 Dortmund-Bochum,2024-09-27,20:30,Dortmund,4–2,Bochum,81365,Signal Iduna Park,Felix Brych,/en/matches/bf284236/Dortmund-Bochum-September-27-2024-Bundesliga
GER-Bundesliga,2425,2024-09-28 Bayern Munich-Leverkusen,2024-09-28,18:30,Bayern Munich,1–1,Leverkusen,75000,Allianz Arena,Felix Zwayer,/en/matches/ea3571c5/Bayern-Munich-Leverkusen-September-28-2024-Bundesliga
GER-Bundesliga,2425,2024-09-28 Freiburg-St Pauli,2024-09-28,15:30,Freiburg,0–3,St Pauli,34700,Europa-Park Stadion,Timo Gerach,/en/matches/c2910931/Freiburg-St-Pauli-September-28-2024-Bundesliga
GER-Bundesliga,2425,2024-09-28 Gladbach-Union Berlin,2024-09-28,15:30,Gladbach,1–0,Union Berlin,53056,Stadion im Borussia-Park,Daniel Schlager,/en/matches/a1a2f716/Monchengladbach-Union-Berlin-September-28-2024-Bundesliga
GER-Bundesliga,2425,2024-09-28 Mainz 05-Heidenheim,2024-09-28,15:30,Mainz 05,0–2,Heidenheim,31500,Mewa Arena,Florian Exner,/en/matches/fc9efe43/Mainz-05-Heidenheim-September-28-2024-Bundesliga
GER-Bundesliga,2425,2024-09-28 RB Leipzig-Augsburg,2024-09-28,15:30,RB Leipzig,4–0,Augsburg,44407,Red Bull Arena,Daniel Siebert,/en/matches/98d6a4cb/RB-Leipzig-Augsburg-September-28-2024-Bundesliga
GER-Bundesliga,2425,2024-09-28 Wolfsburg-Stuttgart,2024-09-28,15:30,Wolfsburg,2–2,Stuttgart,27135,Volkswagen Arena,Sven Jablonski,/en/matches/d72309cf/Wolfsburg-Stuttgart-September-28-2024-Bundesliga
GER-Bundesliga,2425,2024-09-29 Hoffenheim-Werder Bremen,2024-09-29,17:30,Hoffenheim,3–4,Werder Bremen,26018,PreZero Arena,Tobias Reichel,/en/matches/a0e9bb68/Hoffenheim-Werder-Bremen-September-29-2024-Bundesliga
GER-Bundesliga,2425,2024-09-29 Holstein Kiel-Eintracht Frankfurt,2024-09-29,15:30,Holstein Kiel,2–4,Eintracht Frankfurt,15034,Holstein-Stadion,Tobias Stieler,/en/matches/791f7734/Holstein-Kiel-Eintracht-Frankfurt-September-29-2024-Bundesliga
GER-Bundesliga,2425,2024-10-04 Augsburg-Gladbach,2024-10-04,20:30,Augsburg,2–1,Gladbach,30660,WWK Arena,Florian Badstübner,/en/matches/dd751497/Augsburg-Monchengladbach-October-4-2024-Bundesliga
GER-Bundesliga,2425,2024-10-05 Bochum-Wolfsburg,2024-10-05,15:30,Bochum,1–3,Wolfsburg,24630,Vonovia Ruhrstadion,Max Burda,/en/matches/ecd2d8d1/Bochum-Wolfsburg-October-5-2024-Bundesliga
GER-Bundesliga,2425,2024-10-05 Leverkusen-Holstein Kiel,2024-10-05,15:30,Leverkusen,2–2,Holstein Kiel,30210,BayArena,Robert Hartmann,/en/matches/cb256282/Leverkusen-Holstein-Kiel-October-5-2024-Bundesliga
