league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2425,2024-08-24 Lyon-Monaco,2024-08-24,17:00,Lyon,0–2,Monaco,54392,Groupama Stadium,Stéphanie Frappart,/en/matches/1041ac42/Lyon-Monaco-August-24-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-24 Saint-Étienne-Le Havre,2024-08-24,21:00,Saint-Étienne,0–2,Le Havre,16958,Stade Geoffroy-Guichard,Florent Batta,/en/matches/fd677aba/Saint-Etienne-Le-Havre-August-24-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-25 Lens-Brest,2024-08-25,15:00,Lens,2–0,Brest,37435,Stade Bollaert-Delelis,Jérémie Pignard,/en/matches/7fe11a31/Lens-Brest-August-25-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-25 Marseille-Reims,2024-08-25,20:45,Marseille,2–2,Reims,63841,Orange Vélodrome,Hakim Ben El Hadj Salem,/en/matches/3a93bc8b/Marseille-Reims-August-25-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-25 Nantes-Auxerre,2024-08-25,17:00,Nantes,2–0,Auxerre,31077,Stade de la Beaujoire - Louis Fonteneau,Gaël Angoula,/en/matches/57fe0d50/Nantes-Auxerre-August-25-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-25 Nice-Toulouse,2024-08-25,17:00,Nice,1–1,Toulouse,21656,Allianz Riviera,Bastien Dechepy,/en/matches/33b61302/Nice-Toulouse-August-25-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-25 Strasbourg-Rennes,2024-08-25,17:00,Strasbourg,3–1,Rennes,19026,Stade de la Meinau,Eric Wattellier,/en/matches/efa54e4b/Strasbourg-Rennes-August-25-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-30 Lyon-Strasbourg,2024-08-30,20:45,Lyon,4–3,Strasbourg,43805,Groupama Stadium,Thomas Léonard,/en/matches/2c5ec7aa/Lyon-Strasbourg-August-30-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-31 Brest-Saint-Étienne,2024-08-31,17:00,Brest,4–0,Saint-Étienne,14885,Stade Francis-Le Blé,Gaël Angoula,/en/matches/82c19aa6/Brest-Saint-Etienne-August-31-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-31 Montpellier-Nantes,2024-08-31,19:00,Montpellier,1–3,Nantes,13000,Stade de la Mosson-Mondial 98,Benoît Millot,/en/matches/5b8c614c/Montpellier-Nantes-August-31-2024-Ligue-1
FRA-Ligue 1,2425,2024-08-31 Toulouse-Marseille,2024-08-31,21:00,Toulouse,1–3,Marseille,19178,Stadium de Toulouse,Stéphanie Frappart,/en/matches/ebbcbe63/Toulouse-Marseille-August-31-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-01 Angers-Nice,2024-09-01,17:00,Angers,1–4,Nice,9168,Stade Raymond Kopa,Jeremy Stinat,/en/matches/97e962bb/Angers-Nice-September-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-01 Le Havre-Auxerre,2024-09-01,17:00,Le Havre,3–1,Auxerre,19715,Stade Océane,Marc Bollengier,/en/matches/3bc2668a/Le-Havre-Auxerre-September-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-01 Lille-Paris Saint-Germain,2024-09-01,20:45,Lille,1–3,Paris Saint-Germain,45434,Decathlon Arena - Stade Pierre-Mauroy,Benoît Bastien,/en/matches/49234140/Lille-Paris-Saint-Germain-September-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-01 Monaco-Lens,2024-09-01,15:00,Monaco,1–1,Lens,9030,Stade Louis II,Willy Delajod,/en/matches/a93b08ff/Monaco-Lens-September-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-01 Reims-Rennes,2024-09-01,17:00,Reims,2–1,Rennes,12856,Stade Auguste-Delaune,Mathieu Vernice,/en/matches/4abb133c/Reims-Rennes-September-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-13 Saint-Étienne-Lille,2024-09-13,20:45,Saint-Étienne,1–0,Lille,23000,Stade Geoffroy-Guichard,François Letexier,/en/matches/47e23fb5/Saint-Etienne-Lille-September-13-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-14 Auxerre-Monaco,2024-09-14,19:00,Auxerre,0–3,Monaco,17045,Stade de l'Abbé Deschamps,Abdelatif Kherradji,/en/matches/b4fb60b5/Auxerre-Monaco-September-14-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-14 Marseille-Nice,2024-09-14,17:00,Marseille,2–0,Nice,65803,Orange Vélodrome,Benoît Millot,/en/matches/2034c29c/Marseille-Nice-September-14-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-14 Paris Saint-Germain-Brest,2024-09-14,21:00,Paris Saint-Germain,3–1,Brest,47000,Parc des Princes,Clément Turpin,/en/matches/f22a7db0/Paris-Saint-Germain-Brest-September-14-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-15 Lens-Lyon,2024-09-15,20:45,Lens,0–0,Lyon,38116,Stade Bollaert-Delelis,Bastien Dechepy,/en/matches/6f7e5cde/Lens-Lyon-September-15-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-15 Nantes-Reims,2024-09-15,17:00,Nantes,1–2,Reims,29811,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,/en/matches/1411fc56/Nantes-Reims-September-15-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-15 Rennes-Montpellier,2024-09-15,15:00,Rennes,3–0,Montpellier,27451,Roazhon Park,Jérémie Pignard,/en/matches/984e7243/Rennes-Montpellier-September-15-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-15 Strasbourg-Angers,2024-09-15,17:00,Strasbourg,1–1,Angers,19135,Stade de la Meinau,Hakim Ben El Hadj Salem,/en/matches/06ecf73c/Strasbourg-Angers-September-15-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-15 Toulouse-Le Havre,2024-09-15,17:00,Toulouse,2–0,Le Havre,30097,Stadium de Toulouse,Eric Wattellier,/en/matches/f4982a54/Toulouse-Le-Havre-September-15-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-20 Nice-Saint-Étienne,2024-09-20,20:45,Nice,8–0,Saint-Étienne,30024,Allianz Riviera,Thomas Léonard,/en/matches/85495c0d/Nice-Saint-Etienne-September-20-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-21 Lille-Strasbourg,2024-09-21,17:00,Lille,3–3,Strasbourg,39516,Decathlon Arena - Stade Pierre-Mauroy,Jérôme Brisard,/en/matches/2bff6ebd/Lille-Strasbourg-September-21-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-21 Reims-Paris Saint-Germain,2024-09-21,21:00,Reims,1–1,Paris Saint-Germain,20220,Stade Auguste-Delaune,Jérémie Pignard,/en/matches/7274e9a5/Reims-Paris-Saint-Germain-September-21-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-21 Rennes-Lens,2024-09-21,19:00,Rennes,1–1,Lens,28500,Roazhon Park,Jeremy Stinat,/en/matches/73dc5828/Rennes-Lens-September-21-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-22 Angers-Nantes,2024-09-22,17:00,Angers,1–1,Nantes,16960,Stade Raymond Kopa,Mathieu Vernice,/en/matches/601ddfc9/Angers-Nantes-September-22-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-22 Brest-Toulouse,2024-09-22,17:00,Brest,2–0,Toulouse,14580,Stade Francis-Le Blé,Florent Batta,/en/matches/7cbba12e/Brest-Toulouse-September-22-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-22 Lyon-Marseille,2024-09-22,20:45,Lyon,2–3,Marseille,53928,Groupama Stadium,Benoît Bastien,/en/matches/35b20e2f/Choc-des-Olympiques-Lyon-Marseille-September-22-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-22 Monaco-Le Havre,2024-09-22,15:00,Monaco,3–1,Le Havre,6000,Stade Louis II,Stéphanie Frappart,/en/matches/017d7a9d/Monaco-Le-Havre-September-22-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-22 Montpellier-Auxerre,2024-09-22,17:00,Montpellier,3–2,Auxerre,11643,Stade de la Mosson-Mondial 98,Hakim Ben El Hadj Salem,/en/matches/ac95cb33/Montpellier-Auxerre-September-22-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-27 Auxerre-Brest,2024-09-27,19:00,Auxerre,3–0,Brest,15381,Stade de l'Abbé Deschamps,Jeremy Stinat,/en/matches/8c59509d/Auxerre-Brest-September-27-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-27 Paris Saint-Germain-Rennes,2024-09-27,21:00,Paris Saint-Germain,3–1,Rennes,47000,Parc des Princes,Hakim Ben El Hadj Salem,/en/matches/ab0643c6/Paris-Saint-Germain-Rennes-September-27-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-28 Le Havre-Lille,2024-09-28,19:00,Le Havre,0–3,Lille,21369,Stade Océane,Bastien Dechepy,/en/matches/e08ccde6/Le-Havre-Lille-September-28-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-28 Lens-Nice,2024-09-28,17:00,Lens,0–0,Nice,37301,Stade Bollaert-Delelis,François Letexier,/en/matches/340afccd/Lens-Nice-September-28-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-28 Monaco-Montpellier,2024-09-28,21:00,Monaco,2–1,Montpellier,13065,Stade Louis II,Marc Bollengier,/en/matches/54ce742c/Monaco-Montpellier-September-28-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-29 Angers-Reims,2024-09-29,17:00,Angers,1–3,Reims,8526,Stade Raymond Kopa,Eric Wattellier,/en/matches/1ea5cb30/Angers-Reims-September-29-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-29 Nantes-Saint-Étienne,2024-09-29,17:00,Nantes,2–2,Saint-Étienne,34005,Stade de la Beaujoire - Louis Fonteneau,Abdelatif Kherradji,/en/matches/38a94d90/Nantes-Saint-Etienne-September-29-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-29 Strasbourg-Marseille,2024-09-29,20:45,Strasbourg,1–0,Marseille,19790,Stade de la Meinau,Willy Delajod,/en/matches/ebcd9980/Strasbourg-Marseille-September-29-2024-Ligue-1
FRA-Ligue 1,2425,2024-09-29 Toulouse-Lyon,2024-09-29,15:00,Toulouse,1–2,Lyon,30026,Stadium de Toulouse,Gaël Angoula,/en/matches/a7954dea/Toulouse-Lyon-September-29-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-04 Marseille-Angers,2024-10-04,20:45,Marseille,1–1,Angers,54568,Orange Vélodrome,Romain Lissorgue,/en/matches/c2dcc859/Marseille-Angers-October-4-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-05 Lille-Toulouse,2024-10-05,19:00,Lille,2–1,Toulouse,36947,Decathlon Arena - Stade Pierre-Mauroy,Clément Turpin,/en/matches/8d700c3d/Lille-Toulouse-October-5-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-05 Rennes-Monaco,2024-10-05,21:00,Rennes,1–2,Monaco,26533,Roazhon Park,Thomas Léonard,/en/matches/f7072ea6/Rennes-Monaco-October-5-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-05 Saint-Étienne-Auxerre,2024-10-05,17:00,Saint-Étienne,3–1,Auxerre,31445,Stade Geoffroy-Guichard,Mathieu Vernice,/en/matches/752978b2/Saint-Etienne-Auxerre-October-5-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-06 Brest-Le Havre,2024-10-06,17:00,Brest,2–0,Le Havre,14572,Stade Francis-Le Blé,Benoît Millot,/en/matches/efe178e7/Brest-Le-Havre-October-6-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-06 Lyon-Nantes,2024-10-06,15:00,Lyon,2–0,Nantes,51888,Groupama Stadium,Marc Bollengier,/en/matches/1cefcdb4/Lyon-Nantes-October-6-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-06 Nice-Paris Saint-Germain,2024-10-06,20:45,Nice,1–1,Paris Saint-Germain,30247,Allianz Riviera,Jérôme Brisard,/en/matches/474dd950/Nice-Paris-Saint-Germain-October-6-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-06 Reims-Montpellier,2024-10-06,17:00,Reims,4–2,Montpellier,14903,Stade Auguste-Delaune,Benoît Bastien,/en/matches/843fb71f/Reims-Montpellier-October-6-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-06 Strasbourg-Lens,2024-10-06,17:00,Strasbourg,2–2,Lens,19968,Stade de la Meinau,Stéphanie Frappart,/en/matches/219332d8/Strasbourg-Lens-October-6-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-18 Monaco-Lille,2024-10-18,20:45,Monaco,0–0,Lille,7263,Stade Louis II,Eric Wattellier,/en/matches/18476c11/Monaco-Lille-October-18-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-19 Brest-Rennes,2024-10-19,17:00,Brest,1–1,Rennes,15099,Stade Francis-Le Blé,Bastien Dechepy,/en/matches/e2a10c83/Brest-Rennes-October-19-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-19 Paris Saint-Germain-Strasbourg,2024-10-19,21:00,Paris Saint-Germain,4–2,Strasbourg,47590,Parc des Princes,Jeremy Stinat,/en/matches/80a16e3b/Paris-Saint-Germain-Strasbourg-October-19-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-19 Saint-Étienne-Lens,2024-10-19,19:00,Saint-Étienne,0–2,Lens,36832,Stade Geoffroy-Guichard,Romain Lissorgue,/en/matches/0782c73c/Saint-Etienne-Lens-October-19-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-20 Auxerre-Reims,2024-10-20,17:00,Auxerre,2–1,Reims,17016,Stade de l'Abbé Deschamps,Florent Batta,/en/matches/5f02a541/Auxerre-Reims-October-20-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-20 Le Havre-Lyon,2024-10-20,15:00,Le Havre,0–4,Lyon,22490,Stade Océane,Abdelatif Kherradji,/en/matches/b12f8ecd/Le-Havre-Lyon-October-20-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-20 Montpellier-Marseille,2024-10-20,20:45,Montpellier,0–5,Marseille,18000,Stade de la Mosson-Mondial 98,Clément Turpin,/en/matches/0f332030/Montpellier-Marseille-October-20-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-20 Nantes-Nice,2024-10-20,17:00,Nantes,1–1,Nice,28141,Stade de la Beaujoire - Louis Fonteneau,Gaël Angoula,/en/matches/706313e8/Nantes-Nice-October-20-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-20 Toulouse-Angers,2024-10-20,17:00,Toulouse,1–1,Angers,24107,Stadium de Toulouse,Willy Delajod,/en/matches/92f559ad/Toulouse-Angers-October-20-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-25 Rennes-Le Havre,2024-10-25,20:45,Rennes,1–0,Le Havre,27130,Roazhon Park,Florent Batta,/en/matches/603efa49/Rennes-Le-Havre-October-25-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-26 Angers-Saint-Étienne,2024-10-26,17:00,Angers,4–2,Saint-Étienne,13796,Stade Raymond Kopa,Marc Bollengier,/en/matches/61752f42/Angers-Saint-Etienne-October-26-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-26 Lens-Lille,2024-10-26,21:00,Lens,0–2,Lille,38223,Stade Bollaert-Delelis,Benoît Bastien,/en/matches/ac39189f/Lens-Lille-October-26-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-26 Reims-Brest,2024-10-26,19:00,Reims,1–2,Brest,17172,Stade Auguste-Delaune,Jérôme Brisard,/en/matches/6e7b242b/Reims-Brest-October-26-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-27 Lyon-Auxerre,2024-10-27,15:00,Lyon,2–2,Auxerre,54868,Groupama Stadium,Jeremy Stinat,/en/matches/bd02e3b4/Lyon-Auxerre-October-27-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-27 Marseille-Paris Saint-Germain,2024-10-27,20:45,Marseille,0–3,Paris Saint-Germain,66115,Orange Vélodrome,François Letexier,/en/matches/c29b0d3a/Marseille-Paris-Saint-Germain-October-27-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-27 Montpellier-Toulouse,2024-10-27,17:00,Montpellier,0–3,Toulouse,14111,Stade de la Mosson-Mondial 98,Thomas Léonard,/en/matches/49e6789d/Montpellier-Toulouse-October-27-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-27 Nice-Monaco,2024-10-27,17:00,Nice,2–1,Monaco,29795,Allianz Riviera,Jérémie Pignard,/en/matches/4cbaa8c3/Nice-Monaco-October-27-2024-Ligue-1
FRA-Ligue 1,2425,2024-10-27 Strasbourg-Nantes,2024-10-27,17:00,Strasbourg,3–1,Nantes,19398,Stade de la Meinau,Hakim Ben El Hadj Salem,/en/matches/98168e71/Strasbourg-Nantes-October-27-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-01 Lille-Lyon,2024-11-01,21:00,Lille,1–1,Lyon,45084,Decathlon Arena - Stade Pierre-Mauroy,Jérôme Brisard,/en/matches/d592199c/Lille-Lyon-November-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-01 Monaco-Angers,2024-11-01,19:00,Monaco,0–1,Angers,10540,Stade Louis II,Abdelatif Kherradji,/en/matches/3e5f7440/Monaco-Angers-November-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-02 Brest-Nice,2024-11-02,19:00,Brest,0–1,Nice,14534,Stade Francis-Le Blé,Clément Turpin,/en/matches/0fab1c2f/Brest-Nice-November-2-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-02 Paris Saint-Germain-Lens,2024-11-02,17:00,Paris Saint-Germain,1–0,Lens,47926,Parc des Princes,Willy Delajod,/en/matches/51cd344b/Paris-Saint-Germain-Lens-November-2-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-02 Saint-Étienne-Strasbourg,2024-11-02,21:00,Saint-Étienne,2–0,Strasbourg,33043,Stade Geoffroy-Guichard,Eric Wattellier,/en/matches/535bbc15/Saint-Etienne-Strasbourg-November-2-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-03 Auxerre-Rennes,2024-11-03,17:00,Auxerre,4–0,Rennes,16366,Stade de l'Abbé Deschamps,Gaël Angoula,/en/matches/acc30562/Auxerre-Rennes-November-3-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-03 Le Havre-Montpellier,2024-11-03,17:00,Le Havre,1–0,Montpellier,18703,Stade Océane,Stéphanie Frappart,/en/matches/a537aa6e/Le-Havre-Montpellier-November-3-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-03 Nantes-Marseille,2024-11-03,20:45,Nantes,1–2,Marseille,33248,Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,/en/matches/53893177/Nantes-Marseille-November-3-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-03 Toulouse-Reims,2024-11-03,15:00,Toulouse,1–0,Reims,23769,Stadium de Toulouse,Mathieu Vernice,/en/matches/f0237d4b/Toulouse-Reims-November-3-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-08 Marseille-Auxerre,2024-11-08,20:45,Marseille,1–3,Auxerre,64184,Orange Vélodrome,Marc Bollengier,/en/matches/4ab63460/Marseille-Auxerre-November-8-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-09 Angers-Paris Saint-Germain,2024-11-09,21:00,Angers,2–4,Paris Saint-Germain,17212,Stade Raymond Kopa,Benoît Millot,/en/matches/ddf738c4/Angers-Paris-Saint-Germain-November-9-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-09 Lens-Nantes,2024-11-09,19:00,Lens,3–2,Nantes,38202,Stade Bollaert-Delelis,Clément Turpin,/en/matches/172c33b7/Lens-Nantes-November-9-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-09 Strasbourg-Monaco,2024-11-09,17:00,Strasbourg,1–3,Monaco,19451,Stade de la Meinau,Bastien Dechepy,/en/matches/cd41b272/Strasbourg-Monaco-November-9-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-10 Le Havre-Reims,2024-11-10,17:00,Le Havre,0–3,Reims,19256,Stade Océane,Hakim Ben El Hadj Salem,/en/matches/63390fe7/Le-Havre-Reims-November-10-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-10 Lyon-Saint-Étienne,2024-11-10,20:45,Lyon,1–0,Saint-Étienne,58082,Groupama Stadium,Willy Delajod,/en/matches/e552596a/Lyon-Saint-Etienne-November-10-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-10 Montpellier-Brest,2024-11-10,17:00,Montpellier,3–1,Brest,12936,Stade de la Mosson-Mondial 98,Jérémie Pignard,/en/matches/8ab9a941/Montpellier-Brest-November-10-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-10 Nice-Lille,2024-11-10,15:00,Nice,2–2,Lille,25063,Allianz Riviera,Jeremy Stinat,/en/matches/e213d881/Nice-Lille-November-10-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-10 Rennes-Toulouse,2024-11-10,17:00,Rennes,0–2,Toulouse,27525,Roazhon Park,Romain Lissorgue,/en/matches/a7965d75/Rennes-Toulouse-November-10-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-22 Monaco-Brest,2024-11-22,19:00,Monaco,3–2,Brest,5800,Stade Louis II,Thomas Léonard,/en/matches/48a28747/Monaco-Brest-November-22-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-22 Paris Saint-Germain-Toulouse,2024-11-22,21:00,Paris Saint-Germain,3–0,Toulouse,47000,Parc des Princes,Gaël Angoula,/en/matches/740dd871/Paris-Saint-Germain-Toulouse-November-22-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-23 Lens-Marseille,2024-11-23,17:00,Lens,1–3,Marseille,38823,Stade Bollaert-Delelis,Eric Wattellier,/en/matches/01446885/Lens-Marseille-November-23-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-23 Reims-Lyon,2024-11-23,21:00,Reims,1–1,Lyon,18500,Stade Auguste-Delaune,Stéphanie Frappart,/en/matches/4da20576/Reims-Lyon-November-23-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-23 Saint-Étienne-Montpellier,2024-11-23,19:00,Saint-Étienne,1–0,Montpellier,33008,Stade Geoffroy-Guichard,Florent Batta,/en/matches/90c0c091/Saint-Etienne-Montpellier-November-23-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-24 Auxerre-Angers,2024-11-24,17:00,Auxerre,1–0,Angers,16120,Stade de l'Abbé Deschamps,François Letexier,/en/matches/b1dbd309/Auxerre-Angers-November-24-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-24 Lille-Rennes,2024-11-24,15:00,Lille,1–0,Rennes,46019,Decathlon Arena - Stade Pierre-Mauroy,Mathieu Vernice,/en/matches/240126d9/Lille-Rennes-November-24-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-24 Nantes-Le Havre,2024-11-24,17:00,Nantes,0–2,Le Havre,26936,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,/en/matches/a27a021f/Nantes-Le-Havre-November-24-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-24 Nice-Strasbourg,2024-11-24,20:45,Nice,2–1,Strasbourg,18389,Allianz Riviera,Benoît Bastien,/en/matches/5bfe68c5/Nice-Strasbourg-November-24-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-29 Reims-Lens,2024-11-29,20:45,Reims,0–2,Lens,18555,Stade Auguste-Delaune,Abdelatif Kherradji,/en/matches/a4c0898c/Reims-Lens-November-29-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-30 Brest-Strasbourg,2024-11-30,19:00,Brest,3–1,Strasbourg,14600,Stade Francis-Le Blé,Romain Lissorgue,/en/matches/197cb3bb/Brest-Strasbourg-November-30-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-30 Paris Saint-Germain-Nantes,2024-11-30,21:00,Paris Saint-Germain,1–1,Nantes,47926,Parc des Princes,Jeremy Stinat,/en/matches/b898e0fa/Paris-Saint-Germain-Nantes-November-30-2024-Ligue-1
FRA-Ligue 1,2425,2024-11-30 Rennes-Saint-Étienne,2024-11-30,17:00,Rennes,5–0,Saint-Étienne,27586,Roazhon Park,Marc Bollengier,/en/matches/546b6937/Rennes-Saint-Etienne-November-30-2024-Ligue-1
FRA-Ligue 1,2425,2024-12-01 Le Havre-Angers,2024-12-01,17:00,Le Havre,0–1,Angers,20018,Stade Océane,Willy Delajod,/en/matches/b9d2f3b2/Le-Havre-Angers-December-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-12-01 Lyon-Nice,2024-12-01,17:00,Lyon,4–1,Nice,59977,Groupama Stadium,Bastien Dechepy,/en/matches/44194749/Lyon-Nice-December-1-2024-Ligue-1
FRA-Ligue 1,2425,2024-12-01 Marseille-Monaco,2024-12-01,20:45,Marseille,2–1,Monaco,64277,Orange Vélodrome,Clément Turpin,/en/matches/e90d4817/Marseille-Monaco-December-1-2024-Ligue-1
