league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2324,2023-09-30 Lecce-Napoli,2023-09-30,15:00,Lecce,0–4,Napoli,27588,Stadio Comunale Via Del Mare,Luca Pairetto,/en/matches/4c10f199/Lecce-Napoli-September-30-2023-Serie-A
ITA-Serie A,2324,2023-09-30 Milan-Lazio,2023-09-30,18:00,Milan,2–0,Lazio,72035,Stadio Giuseppe Meazza,Davide Massa,/en/matches/a315e1cc/Milan-Lazio-September-30-2023-Serie-A
ITA-Serie A,2324,2023-09-30 Salernitana-Inter,2023-09-30,20:45,Salernitana,0–4,Inter,28085,Stadio Arechi,Rosario Abisso,/en/matches/276d542d/Salernitana-Internazionale-September-30-2023-Serie-A
ITA-Serie A,2324,2023-10-01 Atalanta-Juventus,2023-10-01,18:00,Atalanta,0–0,Juventus,14811,Gewiss Stadium,Daniele Chiffi,/en/matches/13a50e02/Atalanta-Juventus-October-1-2023-Serie-A
ITA-Serie A,2324,2023-10-01 Bologna-Empoli,2023-10-01,12:30,Bologna,3–0,Empoli,23689,Stadio Renato Dall'Ara,Fabio Maresca,/en/matches/8f129029/Bologna-Empoli-October-1-2023-Serie-A
ITA-Serie A,2324,2023-10-01 Roma-Frosinone,2023-10-01,20:45,Roma,2–0,Frosinone,62638,Stadio Olimpico,Matteo Marchetti,/en/matches/0133f321/Roma-Frosinone-October-1-2023-Serie-A
ITA-Serie A,2324,2023-10-01 Udinese-Genoa,2023-10-01,15:00,Udinese,2–2,Genoa,20805,Bluenergy Stadium,Maurizio Mariani,/en/matches/507d7e86/Udinese-Genoa-October-1-2023-Serie-A
ITA-Serie A,2324,2023-10-02 Fiorentina-Cagliari,2023-10-02,20:45,Fiorentina,3–0,Cagliari,27309,Stadio Artemio Franchi,Marco Di Bello,/en/matches/7dd8d98a/Fiorentina-Cagliari-October-2-2023-Serie-A
ITA-Serie A,2324,2023-10-02 Sassuolo-Monza,2023-10-02,18:30,Sassuolo,0–1,Monza,10165,Mapei Stadium - Città del Tricolore,Luca Zufferli,/en/matches/13b84a7a/Sassuolo-Monza-October-2-2023-Serie-A
ITA-Serie A,2324,2023-10-02 Torino-Hellas Verona,2023-10-02,18:30,Torino,0–0,Hellas Verona,19419,Stadio Olimpico di Torino,Ermanno Feliciani,/en/matches/ea8ff4b0/Torino-Hellas-Verona-October-2-2023-Serie-A
ITA-Serie A,2324,2023-10-06 Empoli-Udinese,2023-10-06,18:30,Empoli,0–0,Udinese,7128,Stadio Carlo Castellani,Michael Fabbri,/en/matches/2397e099/Empoli-Udinese-October-6-2023-Serie-A
ITA-Serie A,2324,2023-10-06 Lecce-Sassuolo,2023-10-06,20:45,Lecce,1–1,Sassuolo,26160,Stadio Comunale Via Del Mare,Juan Sacchi,/en/matches/26509ebd/Lecce-Sassuolo-October-6-2023-Serie-A
ITA-Serie A,2324,2023-10-07 Genoa-Milan,2023-10-07,20:45,Genoa,0–1,Milan,33157,Stadio Comunale Luigi Ferraris,Marco Piccinini,/en/matches/3bd415eb/Genoa-Milan-October-7-2023-Serie-A
ITA-Serie A,2324,2023-10-07 Inter-Bologna,2023-10-07,15:00,Inter,2–2,Bologna,74072,Stadio Giuseppe Meazza,Marco Guida,/en/matches/b46d0026/Internazionale-Bologna-October-7-2023-Serie-A
ITA-Serie A,2324,2023-10-07 Juventus-Torino,2023-10-07,18:00,Juventus,2–0,Torino,38858,Allianz Stadium,Davide Massa,/en/matches/1d1f902c/Juventus-Torino-October-7-2023-Serie-A
