league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2223,2022-08-31 Lens-Lorient,2022-08-31,21:00,Lens,5–2,Lorient,37161,Stade Bollaert-Delelis,Benoît Bastien,/en/matches/e81a5c4f/Lens-Lorient-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Lille-Nice,2022-08-31,21:00,Lille,1–2,Nice,30254,Stade Pierre-Mauroy,Jeremy Stinat,/en/matches/6f55425d/Lille-Nice-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Lyon-Auxerre,2022-08-31,19:00,Lyon,2–1,Auxerre,38609,Groupama Stadium,Pierre Gaillouste,/en/matches/d4cde1d6/Lyon-Auxerre-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Marseille-Clermont Foot,2022-08-31,21:00,Marseille,1–0,Clermont Foot,62763,Orange Vélodrome,Eric Wattellier,/en/matches/e703a3d2/Marseille-Clermont-Foot-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Monaco-Troyes,2022-08-31,19:00,Monaco,2–4,Troyes,4045,Stade Louis II,Ruddy Buquet,/en/matches/8b21a4d4/Monaco-Troyes-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Montpellier-Ajaccio,2022-08-31,19:00,Montpellier,2–0,Ajaccio,10051,Stade de la Mosson,Bastien Dechepy,/en/matches/f80ee3a3/Montpellier-Ajaccio-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Rennes-Brest,2022-08-31,21:00,Rennes,3–1,Brest,27392,Roazhon Park,Benoît Millot,/en/matches/b9bd2221/Rennes-Brest-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Strasbourg-Nantes,2022-08-31,19:00,Strasbourg,1–1,Nantes,25162,Stade de la Meinau,Clément Turpin,/en/matches/6a2fc46c/Strasbourg-Nantes-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-08-31 Toulouse-Paris Saint-Germain,2022-08-31,21:00,Toulouse,0–3,Paris Saint-Germain,31700,Stadium Municipal,Hakim Ben El Hadj Salem,/en/matches/63fb1427/Toulouse-Paris-Saint-Germain-August-31-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-03 Auxerre-Marseille,2022-09-03,17:00,Auxerre,0–2,Marseille,17025,Stade de l'Abbé Deschamps,Willy Delajod,/en/matches/d9b1158b/Auxerre-Marseille-September-3-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-03 Lyon-Angers,2022-09-03,19:00,Lyon,5–0,Angers,39586,Groupama Stadium,Thomas Léonard,/en/matches/fb645562/Lyon-Angers-September-3-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-03 Nantes-Paris Saint-Germain,2022-09-03,21:00,Nantes,0–3,Paris Saint-Germain,34406,Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,/en/matches/368a55f1/Nantes-Paris-Saint-Germain-September-3-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-04 Ajaccio-Lorient,2022-09-04,15:00,Ajaccio,0–1,Lorient,7000,Stade François Coty,Jeremy Stinat,/en/matches/ae60a120/Ajaccio-Lorient-September-4-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-04 Brest-Strasbourg,2022-09-04,15:00,Brest,1–1,Strasbourg,11003,Stade Francis-Le Blé,Bastien Dechepy,/en/matches/a4f51170/Brest-Strasbourg-September-4-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-04 Clermont Foot-Toulouse,2022-09-04,15:00,Clermont Foot,2–0,Toulouse,10085,Stade Gabriel Montpied,François Letexier,/en/matches/20d46d25/Clermont-Foot-Toulouse-September-4-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-04 Montpellier-Lille,2022-09-04,13:00,Montpellier,1–3,Lille,12215,Stade de la Mosson,Jérôme Brisard,/en/matches/d61a03a9/Montpellier-Lille-September-4-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-04 Nice-Monaco,2022-09-04,20:45,Nice,0–1,Monaco,24125,Stade de Nice,Benoît Millot,/en/matches/cd865a2a/Nice-Monaco-September-4-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-04 Reims-Lens,2022-09-04,15:00,Reims,1–1,Lens,15761,Stade Auguste-Delaune,Eric Wattellier,/en/matches/21e5d4df/Reims-Lens-September-4-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-04 Troyes-Rennes,2022-09-04,17:05,Troyes,1–1,Rennes,8000,Stade de l'Aube,Mathieu Vernice,/en/matches/e174ad85/Troyes-Rennes-September-4-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-07 Lorient-Lyon,2022-09-07,19:00,Lorient,3–1,Lyon,13685,Stade du Moustoir,Bastien Dechepy,/en/matches/9bb1f204/Lorient-Lyon-September-7-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-09 Lens-Troyes,2022-09-09,21:00,Lens,1–0,Troyes,37344,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,/en/matches/953fed3d/Lens-Troyes-September-9-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-10 Marseille-Lille,2022-09-10,21:00,Marseille,2–1,Lille,62985,Orange Vélodrome,Benoît Millot,/en/matches/762fd170/Marseille-Lille-September-10-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-10 Paris Saint-Germain-Brest,2022-09-10,17:00,Paris Saint-Germain,1–0,Brest,45000,Parc des Princes,Jérémie Pignard,/en/matches/7e83ffa9/Paris-Saint-Germain-Brest-September-10-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-11 Ajaccio-Nice,2022-09-11,15:00,Ajaccio,0–1,Nice,7068,Stade François Coty,Eric Wattellier,/en/matches/e7c831c2/Ajaccio-Nice-September-11-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-11 Angers-Montpellier,2022-09-11,15:00,Angers,2–1,Montpellier,6165,Stade Raymond Kopa,François Letexier,/en/matches/37884357/Angers-Montpellier-September-11-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-11 Lorient-Nantes,2022-09-11,15:00,Lorient,3–2,Nantes,15081,Stade du Moustoir,Johan Hamel,/en/matches/782c4dff/Lorient-Nantes-September-11-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-11 Monaco-Lyon,2022-09-11,20:45,Monaco,2–1,Lyon,7000,Stade Louis II,Clément Turpin,/en/matches/425472f5/Monaco-Lyon-September-11-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-11 Rennes-Auxerre,2022-09-11,17:05,Rennes,5–0,Auxerre,27837,Roazhon Park,Thomas Léonard,/en/matches/16d3a368/Rennes-Auxerre-September-11-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-11 Strasbourg-Clermont Foot,2022-09-11,13:00,Strasbourg,0–0,Clermont Foot,25089,Stade de la Meinau,Marc Bollengier,/en/matches/198f2034/Strasbourg-Clermont-Foot-September-11-2022-Ligue-1
