Jugador,Equipo,Liga,Temporada,Posicion,Goles,Asistencias,Tarjetas_Amarillas,Tarjetas_Rojas
Ben Pearson,Bournemouth,ENG-Premier League,2223,Centrocampista / Suplente,0,0,1,0
Chris Mepham,Bournemouth,ENG-Premier League,2223,Defensa / Suplente,0,0,7,0
Dango Ouattara,Bournemouth,ENG-Premier League,2223,Centrocampista / Suplente,1,3,1,0
David Brooks,Bournemouth,ENG-Premier League,2223,Centrocampista / Suplente,0,0,1,0
Dominic Solanke,Bournemouth,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,6,7,2,0
Emiliano Marcondes,Bournemouth,ENG-Premier League,2223,Suplente,0,0,0,0
Hamed Junior Traore,Bournemouth,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Illia Zabarnyi,Bournemouth,ENG-Premier League,2223,Defensa / Suplente,0,0,0,0
Jack Stacey,Bournemouth,ENG-Premier League,2223,Defensa / Suplente,0,0,2,0
Jack Stephens,Bournemouth,ENG-Premier League,2223,Defensa / Suplente,0,0,3,0
Jaidon Anthony,Bournemouth,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,3,1,2,0
Jamal Lowe,Bournemouth,ENG-Premier League,2223,Suplente,0,0,0,0
Jefferson Lerma,Bournemouth,ENG-Premier League,2223,Defensa / Centrocampista,5,0,7,0
Joe Rothwell,Bournemouth,ENG-Premier League,2223,Centrocampista / Suplente,0,1,1,0
Jordan Zemura,Bournemouth,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,1,1,0
Junior Stanislas,Bournemouth,ENG-Premier League,2223,Suplente,0,0,0,0
Kieffer Moore,Bournemouth,ENG-Premier League,2223,Delantero / Suplente,4,0,1,0
Lewis Cook,Bournemouth,ENG-Premier League,2223,Centrocampista / Suplente,0,2,4,0
Lloyd Kelly,Bournemouth,ENG-Premier League,2223,Defensa,0,2,3,0
Marcos Senesi,Bournemouth,ENG-Premier League,2223,Defensa / Suplente,2,0,7,0
Marcus Tavernier,Bournemouth,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,5,4,1,0
Mark Travers,Bournemouth,ENG-Premier League,2223,Portero / Suplente,0,0,0,0
Matias Viña,Bournemouth,ENG-Premier League,2223,Defensa / Suplente,2,0,1,0
Neto,Bournemouth,ENG-Premier League,2223,Portero,0,0,4,0
Owen Bevan,Bournemouth,ENG-Premier League,2223,Suplente,0,0,0,0
Philip Billing,Bournemouth,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,7,1,5,0
Ryan Christie,Bournemouth,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,1,1,2,0
Ryan Fredericks,Bournemouth,ENG-Premier League,2223,Defensa / Suplente,0,0,1,0
Siriki Dembélé,Bournemouth,ENG-Premier League,2223,Suplente,0,0,0,0
Aaron Hickey,Brentford,ENG-Premier League,2223,Defensa / Suplente,0,1,7,0
Ben Mee,Brentford,ENG-Premier League,2223,Defensa,3,1,2,0
Bryan Mbeumo,Brentford,ENG-Premier League,2223,Delantero / Suplente,9,8,5,0
Christian Nørgaard,Brentford,ENG-Premier League,2223,Centrocampista / Suplente,1,3,6,0
David Raya,Brentford,ENG-Premier League,2223,Portero,0,0,1,0
Ethan Pinnock,Brentford,ENG-Premier League,2223,Defensa,3,0,0,0
Frank Onyeka,Brentford,ENG-Premier League,2223,Centrocampista / Suplente,0,2,0,0
Halil Dervisoglu,Brentford,ENG-Premier League,2223,Suplente,0,0,0,0
Ivan Toney,Brentford,ENG-Premier League,2223,Delantero,20,4,9,0
Josh Dasilva,Brentford,ENG-Premier League,2223,Centrocampista / Suplente,4,2,1,0
Keane Lewis-Potter,Brentford,ENG-Premier League,2223,Delantero / Suplente,0,1,0,0
Kevin Schade,Brentford,ENG-Premier League,2223,Delantero / Suplente,0,1,2,0
Kristoffer Ajer,Brentford,ENG-Premier League,2223,Defensa,0,0,0,0
Mads Bech Sørensen,Brentford,ENG-Premier League,2223,Suplente,0,0,0,0
Mads Roerslev,Brentford,ENG-Premier League,2223,Defensa / Suplente,0,0,0,0
Mathias Jensen,Brentford,ENG-Premier League,2223,Centrocampista,5,6,5,0
Mikkel Damsgaard,Brentford,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,0,0,4,0
Pontus Jansson,Brentford,ENG-Premier League,2223,Defensa / Suplente,1,0,0,0
Rico Henry,Brentford,ENG-Premier League,2223,Defensa,0,2,4,0
Saman Ghoddos,Brentford,ENG-Premier League,2223,Suplente,0,0,0,0
Sergi Canos,Brentford,ENG-Premier League,2223,Suplente,0,0,0,0
Shandon Baptiste,Brentford,ENG-Premier League,2223,Centrocampista / Suplente,0,1,1,1
Vitaly Janelt,Brentford,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,3,1,3,0
Yoane Wissa,Brentford,ENG-Premier League,2223,Delantero / Suplente,7,3,3,0
Zanka,Brentford,ENG-Premier League,2223,Defensa / Suplente,0,0,2,0
Adam Lallana,Brighton,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,2,1,0,0
Adam Webster,Brighton,ENG-Premier League,2223,Defensa / Suplente,0,0,2,0
Alexis Mac Allister,Brighton,ENG-Premier League,2223,Centrocampista / Suplente,10,2,8,0
Andrew Moran,Brighton,ENG-Premier League,2223,Suplente,0,0,0,0
Billy Gilmour,Brighton,ENG-Premier League,2223,Centrocampista / Suplente,0,1,1,0
Cameron Peupion,Brighton,ENG-Premier League,2223,Suplente,0,0,0,0
Danny Welbeck,Brighton,ENG-Premier League,2223,Delantero / Suplente,6,3,0,0
Deniz Undav,Brighton,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,5,0,2,0
Enock Mwepu,Brighton,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,0,1,0,0
Estupiñán,Brighton,ENG-Premier League,2223,Defensa / Suplente,1,5,4,0
Evan Ferguson,Brighton,ENG-Premier League,2223,Delantero / Suplente,6,2,1,0
Facundo Buonanotte,Brighton,ENG-Premier League,2223,Centrocampista / Suplente,1,1,2,0
Jack Hinshelwood,Brighton,ENG-Premier League,2223,Suplente,0,0,0,0
Jan Paul van Hecke,Brighton,ENG-Premier League,2223,Defensa / Suplente,0,0,2,0
Jason Steele,Brighton,ENG-Premier League,2223,Portero,0,1,1,0
Jeremy Sarmiento,Brighton,ENG-Premier League,2223,Centrocampista / Suplente,0,1,1,0
Joël Veltman,Brighton,ENG-Premier League,2223,Defensa / Suplente,1,1,6,0
Julio Enciso,Brighton,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,2,1,0
Kaoru Mitoma,Brighton,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,7,5,0,0
Levi Colwill,Brighton,ENG-Premier League,2223,Defensa / Suplente,0,2,1,0
Lewis Dunk,Brighton,ENG-Premier League,2223,Defensa,1,0,4,0
Moisés Caicedo,Brighton,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,1,1,10,0
Odeluga Offiah,Brighton,ENG-Premier League,2223,Suplente,0,0,0,0
Pascal Groß,Brighton,ENG-Premier League,2223,Defensa / Delantero / Centrocampista,9,8,6,0
Robert Sánchez,Brighton,ENG-Premier League,2223,Portero,0,0,2,0
Solly March,Brighton,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,6,7,2,0
Tariq Lamptey,Brighton,ENG-Premier League,2223,Defensa / Suplente,0,0,1,0
Yasin Ayari,Brighton,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Armando Broja,Chelsea,ENG-Premier League,2223,Delantero / Suplente,1,0,0,0
Ben Chilwell,Chelsea,ENG-Premier League,2223,Defensa / Suplente,2,2,3,0
Benoit Badiashile Mukinayi,Chelsea,ENG-Premier League,2223,Defensa / Suplente,1,0,2,0
Carney Chukwuemeka,Chelsea,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Christian Pulisic,Chelsea,ENG-Premier League,2223,Defensa / Delantero / Centrocampista / Suplente,1,1,1,0
Conor Gallagher,Chelsea,ENG-Premier League,2223,Centrocampista / Suplente,3,1,9,1
César Azpilicueta,Chelsea,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,0,3,0
David Datro Fofana,Chelsea,ENG-Premier League,2223,Delantero / Suplente,0,0,0,0
Denis Zakaria,Chelsea,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Edouard Mendy,Chelsea,ENG-Premier League,2223,Portero / Suplente,0,0,1,0
Enzo Fernández,Chelsea,ENG-Premier League,2223,Centrocampista,0,2,3,0
Hakim Ziyech,Chelsea,ENG-Premier League,2223,Defensa / Delantero / Centrocampista / Suplente,0,3,1,0
João Félix,Chelsea,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,0,1,1
Kai Havertz,Chelsea,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,7,1,5,0
Kalidou Koulibaly,Chelsea,ENG-Premier League,2223,Defensa / Suplente,2,1,5,1
Kepa,Chelsea,ENG-Premier League,2223,Portero,0,0,1,0
Lewis Hall,Chelsea,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,0,1,0
Marc Cucurella,Chelsea,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,2,4,0
Mason Mount,Chelsea,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,3,2,4,0
Mateo Kovacic,Chelsea,ENG-Premier League,2223,Centrocampista / Suplente,1,2,8,0
Mykhailo Mudryk,Chelsea,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,0,2,1,0
N'Golo Kanté,Chelsea,ENG-Premier League,2223,Centrocampista / Suplente,0,1,1,0
Noni Madueke,Chelsea,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,1,0,0,0
Omari Hutchinson,Chelsea,ENG-Premier League,2223,Suplente,0,0,0,0
Pierre-Emerick Aubameyang,Chelsea,ENG-Premier League,2223,Delantero / Suplente,1,0,1,0
Raheem Sterling,Chelsea,ENG-Premier League,2223,Defensa / Delantero / Centrocampista / Suplente,6,3,4,0
Reece James,Chelsea,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,1,1,4,0
Ruben Loftus-Cheek,Chelsea,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,1,1,0
Thiago Silva,Chelsea,ENG-Premier League,2223,Defensa / Suplente,0,2,2,0
Trevoh Chalobah,Chelsea,ENG-Premier League,2223,Defensa / Suplente,0,0,4,0
Wesley Fofana,Chelsea,ENG-Premier League,2223,Defensa / Suplente,1,0,4,0
Cheick Oumar Doucoure,Crystal Palace,ENG-Premier League,2223,Centrocampista,0,3,8,1
Chris Richards,Crystal Palace,ENG-Premier League,2223,Defensa / Suplente,0,0,0,0
David Ozoh,Crystal Palace,ENG-Premier League,2223,Suplente,0,0,0,0
Eberechi Eze,Crystal Palace,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,10,4,3,0
Jairo Riedewald,Crystal Palace,ENG-Premier League,2223,Suplente,0,0,0,0
James McArthur,Crystal Palace,ENG-Premier League,2223,Suplente,0,0,0,0
James Tomkins,Crystal Palace,ENG-Premier League,2223,Defensa / Suplente,1,0,1,1
Jean-Philippe Mateta,Crystal Palace,ENG-Premier League,2223,Delantero / Suplente,2,0,3,0
Jeffrey Schlupp,Crystal Palace,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,3,1,7,0
Joachim Andersen,Crystal Palace,ENG-Premier League,2223,Defensa,1,0,8,0
Joel Ward,Crystal Palace,ENG-Premier League,2223,Defensa / Suplente,1,0,6,0
Jordan Ayew,Crystal Palace,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,3,5,0
Joseph Whitworth,Crystal Palace,ENG-Premier League,2223,Portero,0,0,0,0
Luka Milivojevic,Crystal Palace,ENG-Premier League,2223,Centrocampista / Suplente,0,0,2,0
Malcolm Ebiowei,Crystal Palace,ENG-Premier League,2223,Suplente,0,0,0,0
Marc Guehi,Crystal Palace,ENG-Premier League,2223,Defensa,1,0,8,0
Michael Olise,Crystal Palace,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,2,11,2,0
Naouirou Ahamada,Crystal Palace,ENG-Premier League,2223,Suplente,0,0,1,0
Nathaniel Clyne,Crystal Palace,ENG-Premier League,2223,Defensa / Suplente,0,0,3,0
Odsonne Edouard,Crystal Palace,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,5,2,3,0
Sam Johnstone,Crystal Palace,ENG-Premier League,2223,Portero,0,0,1,0
Tyrick Mitchell,Crystal Palace,ENG-Premier League,2223,Defensa / Suplente,0,2,5,1
Vicente Guaita,Crystal Palace,ENG-Premier League,2223,Portero,0,0,1,0
Wilfried Zaha,Crystal Palace,ENG-Premier League,2223,Delantero / Centrocampista,7,2,5,0
Will Hughes,Crystal Palace,ENG-Premier League,2223,Centrocampista / Suplente,1,1,4,0
Abdoulaye Doucouré,Everton,ENG-Premier League,2223,Centrocampista / Suplente,5,2,6,1
Alex Iwobi,Everton,ENG-Premier League,2223,Delantero / Centrocampista,2,7,2,0
Amadou Onana,Everton,ENG-Premier League,2223,Centrocampista / Suplente,1,2,9,0
Anthony Gordon,Everton,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,0,7,0
Asmir Begovic,Everton,ENG-Premier League,2223,Portero,0,0,0,0
Ben Godfrey,Everton,ENG-Premier League,2223,Defensa / Suplente,0,1,2,0
Conor Coady,Everton,ENG-Premier League,2223,Defensa / Suplente,1,1,2,0
Dele Alli,Everton,ENG-Premier League,2223,Suplente,0,0,0,0
Demarai Gray,Everton,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,1,3,0
Dominic Calvert-Lewin,Everton,ENG-Premier League,2223,Delantero / Suplente,2,1,3,0
Dwight McNeil,Everton,ENG-Premier League,2223,Defensa / Delantero / Centrocampista / Suplente,7,3,5,0
Ellis Simms,Everton,ENG-Premier League,2223,Delantero / Suplente,1,0,0,0
Idrissa Gueye,Everton,ENG-Premier League,2223,Centrocampista / Suplente,0,1,7,0
Isaac Price,Everton,ENG-Premier League,2223,Suplente,0,0,1,0
James Garner,Everton,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,1,3,0
James Tarkowski,Everton,ENG-Premier League,2223,Defensa,1,1,6,0
Jordan Pickford,Everton,ENG-Premier League,2223,Portero,0,1,5,0
Mason Holgate,Everton,ENG-Premier League,2223,Defensa / Suplente,0,0,1,1
Michael Keane,Everton,ENG-Premier League,2223,Defensa / Suplente,1,2,0,0
Nathan Patterson,Everton,ENG-Premier League,2223,Defensa / Suplente,0,0,3,0
Neal Maupay,Everton,ENG-Premier League,2223,Delantero / Suplente,1,0,4,0
Rúben Vinagre,Everton,ENG-Premier League,2223,Suplente,0,0,0,0
Salomón Rondón,Everton,ENG-Premier League,2223,Delantero / Suplente,0,0,0,0
Seamus Coleman,Everton,ENG-Premier League,2223,Defensa / Suplente,1,0,1,0
Thomas Cannon,Everton,ENG-Premier League,2223,Suplente,0,0,0,0
Tom Davies,Everton,ENG-Premier League,2223,Centrocampista / Suplente,0,0,3,0
Vitalii Mykolenko,Everton,ENG-Premier League,2223,Defensa / Suplente,0,0,4,0
Yerry Mina,Everton,ENG-Premier League,2223,Defensa,2,0,2,0
Aleksandar Mitrovic,Fulham,ENG-Premier League,2223,Delantero / Suplente,14,1,7,0
Andreas Pereira,Fulham,ENG-Premier League,2223,Centrocampista,4,6,8,0
Antonee Robinson,Fulham,ENG-Premier League,2223,Defensa,0,1,8,0
Bernd Leno,Fulham,ENG-Premier League,2223,Portero,0,0,3,0
Bobby Reid,Fulham,ENG-Premier League,2223,Defensa / Delantero / Centrocampista / Suplente,4,1,8,0
Carlos Vinicius,Fulham,ENG-Premier League,2223,Delantero / Suplente,5,2,3,0
Daniel James,Fulham,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,2,1,0,0
Harrison Reed,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,3,4,5,0
Harry Wilson,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,2,3,1,0
Issa Diop,Fulham,ENG-Premier League,2223,Defensa / Suplente,1,0,2,0
Jay Stansfield,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Josh Onomah,Fulham,ENG-Premier League,2223,Suplente,0,0,0,0
João Palhinha,Fulham,ENG-Premier League,2223,Centrocampista,3,0,14,0
Kenny Tete,Fulham,ENG-Premier League,2223,Defensa / Suplente,1,5,8,0
Kevin Mbabu,Fulham,ENG-Premier League,2223,Defensa / Suplente,0,1,1,0
Layvin Kurzawa,Fulham,ENG-Premier League,2223,Defensa / Suplente,0,0,1,0
Luke Harris,Fulham,ENG-Premier League,2223,Suplente,0,0,0,0
Manor Solomon,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,4,0,0,0
Marek Rodák,Fulham,ENG-Premier League,2223,Portero,0,0,0,0
Nathaniel Chalobah,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,1
Neeskens Kebano,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,0,3,0,0
Sasa Lukic,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,0,0,1,0
Shane Duffy,Fulham,ENG-Premier League,2223,Suplente,0,0,0,0
Tim Ream,Fulham,ENG-Premier League,2223,Defensa,1,0,2,0
Tom Cairney,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,2,0,2,0
Tosin Adarabioyo,Fulham,ENG-Premier League,2223,Defensa / Suplente,1,0,4,0
Tyrese Francois,Fulham,ENG-Premier League,2223,Suplente,0,0,0,0
Willian,Fulham,ENG-Premier League,2223,Centrocampista / Suplente,5,5,2,0
Adam Forshaw,Leeds,ENG-Premier League,2223,Centrocampista / Suplente,0,0,0,0
Brenden Aaronson,Leeds,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,1,3,2,0
Cody Drameh,Leeds,ENG-Premier League,2223,Defensa,0,0,0,0
Crysencio Summerville,Leeds,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,2,4,0
Darko Gyabi,Leeds,ENG-Premier League,2223,Suplente,0,0,0,0
Diego Llorente,Leeds,ENG-Premier League,2223,Defensa / Suplente,0,0,1,0
Georginio Rutter,Leeds,ENG-Premier League,2223,Delantero / Suplente,0,1,0,0
Illan Meslier,Leeds,ENG-Premier League,2223,Portero,0,0,3,0
Jack Harrison,Leeds,ENG-Premier League,2223,Defensa / Delantero / Centrocampista / Suplente,5,7,2,0
Joe Gelhardt,Leeds,ENG-Premier League,2223,Delantero / Suplente,0,2,1,0
Joel Robles,Leeds,ENG-Premier League,2223,Portero,0,0,1,0
Júnior Firpo,Leeds,ENG-Premier League,2223,Defensa / Suplente,1,1,6,1
Liam Cooper,Leeds,ENG-Premier League,2223,Defensa / Suplente,1,0,5,0
Luis Sinisterra,Leeds,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,5,0,1,1
Luke Ayling,Leeds,ENG-Premier League,2223,Defensa / Suplente,2,1,3,0
Marc Roca,Leeds,ENG-Premier League,2223,Centrocampista / Suplente,1,2,7,0
Mateo Joseph,Leeds,ENG-Premier League,2223,Suplente,0,0,0,0
Mateusz Klich,Leeds,ENG-Premier League,2223,Suplente,0,0,2,0
Maximilian Wöber,Leeds,ENG-Premier League,2223,Defensa / Suplente,0,0,3,0
Pascal Struijk,Leeds,ENG-Premier League,2223,Defensa / Suplente,2,1,5,0
Patrick Bamford,Leeds,ENG-Premier League,2223,Delantero / Suplente,4,2,3,0
Rasmus Kristensen,Leeds,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,3,1,4,0
Robin Koch,Leeds,ENG-Premier League,2223,Defensa / Centrocampista,0,0,7,0
Rodrigo,Leeds,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,13,1,6,0
Sam Greenwood,Leeds,ENG-Premier League,2223,Centrocampista / Suplente,1,2,1,0
Tyler Adams,Leeds,ENG-Premier League,2223,Centrocampista,0,0,4,1
Weston McKennie,Leeds,ENG-Premier League,2223,Centrocampista / Suplente,0,1,7,0
Wilfried Gnonto,Leeds,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,2,4,7,0
Ayoze Pérez,Leicester,ENG-Premier League,2223,Centrocampista / Suplente,0,1,0,0
Boubakary Soumare,Leicester,ENG-Premier League,2223,Centrocampista / Suplente,0,0,9,0
Caglar Söyüncü,Leicester,ENG-Premier League,2223,Defensa / Suplente,1,0,2,0
Daniel Amartey,Leicester,ENG-Premier League,2223,Defensa / Suplente,0,0,1,0
Daniel Iversen,Leicester,ENG-Premier League,2223,Portero,0,0,0,0
Danny Ward,Leicester,ENG-Premier League,2223,Portero,0,0,0,0
Dennis Praet,Leicester,ENG-Premier League,2223,Centrocampista / Suplente,1,0,1,0
Harry Souttar,Leicester,ENG-Premier League,2223,Defensa / Suplente,0,1,2,0
Harvey Barnes,Leicester,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,13,1,3,0
James Justin,Leicester,ENG-Premier League,2223,Defensa,0,0,0,0
James Maddison,Leicester,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,10,9,10,0
Jamie Vardy,Leicester,ENG-Premier League,2223,Delantero / Suplente,3,4,1,0
Jonny Evans,Leicester,ENG-Premier League,2223,Defensa / Suplente,0,0,1,0
Kelechi Iheanacho,Leicester,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,5,5,0,0
Kiernan Dewsbury-Hall,Leicester,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,2,2,3,1
Lewis Brunt,Leicester,ENG-Premier League,2223,Suplente,0,0,0,0
Luke Thomas,Leicester,ENG-Premier League,2223,Defensa / Suplente,0,0,3,0
Marc Albrighton,Leicester,ENG-Premier League,2223,Centrocampista / Suplente,1,0,0,0
Nampalys Mendy,Leicester,ENG-Premier League,2223,Centrocampista / Suplente,1,0,1,0
Patson Daka,Leicester,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,4,4,2,0
Ricardo Pereira,Leicester,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,1,1,2,0
Tetê,Leicester,ENG-Premier League,2223,Delantero / Centrocampista / Suplente,1,0,0,0
Timothy Castagne,Leicester,ENG-Premier League,2223,Defensa / Suplente,2,3,3,0
Victor Kristiansen,Leicester,ENG-Premier League,2223,Defensa / Suplente,0,1,2,0
Wilfred Ndidi,Leicester,ENG-Premier League,2223,Defensa / Centrocampista / Suplente,0,0,4,0
Wout Faes,Leicester,ENG-Premier League,2223,Defensa,1,2,4,1
Youri Tielemans,Leicester,ENG-Premier League,2223,Centrocampista / Suplente,3,2,4,0
Alex Oxlade-Chamberlain,Liverpool,ENG-Premier League,2223,Delantero / Suplente,1,0,0,0
Alisson,Liverpool,ENG-Premier League,2223,Portero,0,1,1,0
Andrew Robertson,Liverpool,ENG-Premier League,2223,Defensa / Suplente,0,8,3,0
