date,time,home_team,score,away_team,attendance,venue,referee,match_report
2025-10-18,15:30,Mainz 05,3–4,Leverkusen,33305,Mewa Arena,Florian Exner,https://fbref.com/en/matches/cbacd84f/Mainz-05-Leverkusen-October-18-2025-Bundesliga
2025-10-18,15:30,RB Leipzig,2–1,Hamburger SV,47800,Red Bull Arena,Tobias Welz,https://fbref.com/en/matches/98feecfc/RB-Leipzig-Hamburger-SV-October-18-2025-Bundesliga
2025-10-18,15:30,Wolfsburg,0–3,Stuttgart,26145,Volkswagen Arena,Florian Badstübner,https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga
2025-10-19,15:30,Freiburg,2–2,Eintracht Frankfurt,34700,Europa-Park Stadion,Deniz Aytekin,https://fbref.com/en/matches/1285edc1/Freiburg-Eintracht-Frankfurt-October-19-2025-Bundesliga
2025-10-19,17:30,St Pauli,0–3,Hoffenheim,29248,Millerntor-Stadion,Sven Jablonski,https://fbref.com/en/matches/b4f6e363/St-Pauli-Hoffenheim-October-19-2025-Bundesliga
2025-10-24,20:30,Werder Bremen,1–0,Union Berlin,42100,Weserstadion,Daniel Schlager,https://fbref.com/en/matches/e69d535e/Werder-Bremen-Union-Berlin-October-24-2025-Bundesliga
2025-10-25,15:30,Augsburg,0–6,RB Leipzig,28600,WWK Arena,Daniel Siebert,https://fbref.com/en/matches/4ce34326/Augsburg-RB-Leipzig-October-25-2025-Bundesliga
2025-10-25,18:30,Dortmund,1–0,Köln,81365,Signal Iduna Park,Benjamin Brand,https://fbref.com/en/matches/eeacfafc/Dortmund-Koln-October-25-2025-Bundesliga
2025-10-25,15:30,Eintracht Frankfurt,2–0,St Pauli,59500,Deutsche Bank Park,Robin Braun,https://fbref.com/en/matches/0c04c6a6/Eintracht-Frankfurt-St-Pauli-October-25-2025-Bundesliga
2025-10-25,15:45,Gladbach,0–3,Bayern Munich,54042,Stadion im Borussia-Park,Sascha Stegemann,https://fbref.com/en/matches/bcdd851c/Monchengladbach-Bayern-Munich-October-25-2025-Bundesliga
2025-10-25,15:30,Hamburger SV,0–1,Wolfsburg,57000,Volksparkstadion,Martin Petersen,https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga
2025-10-25,15:30,Hoffenheim,3–1,Heidenheim,24127,PreZero Arena,Matthias Jöllenbeck,https://fbref.com/en/matches/482ddc24/Hoffenheim-Heidenheim-October-25-2025-Bundesliga
2025-10-26,15:30,Leverkusen,2–0,Freiburg,30210,BayArena,Harm Osmers,https://fbref.com/en/matches/f42e0743/Leverkusen-Freiburg-October-26-2025-Bundesliga
2025-10-26,17:30,Stuttgart,2–1,Mainz 05,59000,MHPArena,Felix Zwayer,https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga
2025-10-31,20:30,Augsburg,0–1,Dortmund,30660,WWK Arena,Tobias Stieler,https://fbref.com/en/matches/598fe99f/Augsburg-Dortmund-October-31-2025-Bundesliga
2025-11-01,18:30,Bayern Munich,3–0,Leverkusen,75000,Allianz Arena,Deniz Aytekin,https://fbref.com/en/matches/23eeabbb/Bayern-Munich-Leverkusen-November-1-2025-Bundesliga
2025-11-01,15:30,Heidenheim,1–1,Eintracht Frankfurt,15000,Voith-Arena,Christian Dingert,https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga
2025-11-01,15:30,Mainz 05,1–1,Werder Bremen,33305,Mewa Arena,Florian Badstübner,https://fbref.com/en/matches/af4d208e/Mainz-05-Werder-Bremen-November-1-2025-Bundesliga
2025-11-01,15:30,RB Leipzig,3–1,Stuttgart,47800,Red Bull Arena,Sven Jablonski,https://fbref.com/en/matches/86253a51/RB-Leipzig-Stuttgart-November-1-2025-Bundesliga
2025-11-01,15:30,St Pauli,0–4,Gladbach,29546,Millerntor-Stadion,Robert Hartmann,https://fbref.com/en/matches/582bbd5d/St-Pauli-Monchengladbach-November-1-2025-Bundesliga
2025-11-01,15:30,Union Berlin,0–0,Freiburg,22012,Stadion An der Alten Försterei,Sören Storks,https://fbref.com/en/matches/c63fd3ef/Union-Berlin-Freiburg-November-1-2025-Bundesliga
2025-11-02,15:30,Köln,4–1,Hamburger SV,50000,RheinEnergieSTADION,Daniel Schlager,https://fbref.com/en/matches/5b856721/Koln-Hamburger-SV-November-2-2025-Bundesliga
2025-11-02,17:30,Wolfsburg,2–3,Hoffenheim,19078,Volkswagen Arena,Frank Willenborg,https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga
2025-11-07,20:30,Werder Bremen,2–1,Wolfsburg,40500,Weserstadion,Felix Zwayer,https://fbref.com/en/matches/42691ed8/Werder-Bremen-Wolfsburg-November-7-2025-Bundesliga
2025-11-08,18:30,Gladbach,3–1,Köln,54042,Stadion im Borussia-Park,Deniz Aytekin,https://fbref.com/en/matches/546be97e/Monchengladbach-Koln-November-8-2025-Bundesliga
2025-11-08,15:30,Hamburger SV,1–1,Dortmund,57000,Volksparkstadion,Tobias Reichel,https://fbref.com/en/matches/52d75dc1/Hamburger-SV-Dortmund-November-8-2025-Bundesliga
2025-11-08,15:30,Hoffenheim,3–1,RB Leipzig,26561,PreZero Arena,Patrick Ittrich,https://fbref.com/en/matches/f05fd061/Hoffenheim-RB-Leipzig-November-8-2025-Bundesliga
2025-11-08,15:30,Leverkusen,6–0,Heidenheim,29257,BayArena,Bastian Dankert,https://fbref.com/en/matches/8e4a9eea/Leverkusen-Heidenheim-November-8-2025-Bundesliga
2025-11-08,15:30,Union Berlin,2–2,Bayern Munich,22012,Stadion An der Alten Försterei,Florian Exner,https://fbref.com/en/matches/4ceaf237/Union-Berlin-Bayern-Munich-November-8-2025-Bundesliga
2025-11-09,19:30,Eintracht Frankfurt,1–0,Mainz 05,59000,Deutsche Bank Park,Matthias Jöllenbeck,https://fbref.com/en/matches/934c7914/Eintracht-Frankfurt-Mainz-05-November-9-2025-Bundesliga
2025-11-09,15:30,Freiburg,2–1,St Pauli,34700,Europa-Park Stadion,Benjamin Brand,https://fbref.com/en/matches/9b9ef973/Freiburg-St-Pauli-November-9-2025-Bundesliga
