date,time,home_team,score,away_team,attendance,venue,referee,match_report
01/12,20:45,Genoa,0–3,Milan,14000,Stadio Comunale Luigi Ferraris,Juan Sacchi,https://fbref.com/en/matches/0664fa4e/Genoa-Milan-December-1-2021-Serie-A
01/12,18:30,Inter,2–0,Spezia,30076,Stadio Giuseppe Meazza,Davide Ghersini,https://fbref.com/en/matches/7701265a/Internazionale-Spezia-December-1-2021-Serie-A
01/12,20:45,Sassuolo,2–2,Napoli,8192,Mapei Stadium - Città del Tricolore,Ivan Pezzuto,https://fbref.com/en/matches/ea8c298c/Sassuolo-Napoli-December-1-2021-Serie-A
02/12,20:45,Lazio,4–4,Udinese,7000,Stadio Olimpico,Marco Piccinini,https://fbref.com/en/matches/fb9d520b/Lazio-Udinese-December-2-2021-Serie-A
02/12,18:30,Torino,2–2,Empoli,7002,Stadio Olimpico di Torino,Andrea Colombo,https://fbref.com/en/matches/c9fd1c3c/Torino-Empoli-December-2-2021-Serie-A
04/12,15:00,Milan,2–0,Salernitana,43609,Stadio Giuseppe Meazza,Antonio Giua,https://fbref.com/en/matches/6feb04b8/Milan-Salernitana-December-4-2021-Serie-A
04/12,20:45,Napoli,2–3,Atalanta,30000,Stadio Diego Armando Maradona,Maurizio Mariani,https://fbref.com/en/matches/61aaea83/Napoli-Atalanta-December-4-2021-Serie-A
04/12,18:00,Roma,0–3,Inter,51185,Stadio Olimpico,Marco Di Bello,https://fbref.com/en/matches/83e0ac81/Roma-Internazionale-December-4-2021-Serie-A
05/12,12:30,Bologna,2–3,Fiorentina,18175,Stadio Renato Dall'Ara,Massimiliano Irrati,https://fbref.com/en/matches/84a63b19/Derby-dellAppennino-Bologna-Fiorentina-December-5-2021-Serie-A
05/12,20:45,Juventus,2–0,Genoa,18458,Allianz Stadium,Daniele Chiffi,https://fbref.com/en/matches/2c5c4cc0/Juventus-Genoa-December-5-2021-Serie-A
05/12,18:00,Sampdoria,1–3,Lazio,5883,Stadio Comunale Luigi Ferraris,Michael Fabbri,https://fbref.com/en/matches/96f5a2b4/Sampdoria-Lazio-December-5-2021-Serie-A
05/12,15:00,Spezia,2–2,Sassuolo,4987,Stadio Alberto Picco,Fabio Maresca,https://fbref.com/en/matches/b6946f8b/Spezia-Sassuolo-December-5-2021-Serie-A
05/12,15:00,Venezia,3–4,Hellas Verona,7608,Stadio Pierluigi Penzo,Alessandro Prontera,https://fbref.com/en/matches/5fe82949/Venezia-Hellas-Verona-December-5-2021-Serie-A
06/12,20:45,Cagliari,1–1,Torino,8799,Unipol Domus,Luca Massimi,https://fbref.com/en/matches/4b37a18e/Cagliari-Torino-December-6-2021-Serie-A
06/12,18:30,Empoli,3–1,Udinese,4808,Stadio Carlo Castellani,Daniele Paterna,https://fbref.com/en/matches/ea327b27/Empoli-Udinese-December-6-2021-Serie-A
10/12,20:45,Genoa,1–3,Sampdoria,,Stadio Comunale Luigi Ferraris,Daniele Doveri,https://fbref.com/en/matches/2c8ad04c/Genoa-Sampdoria-December-10-2021-Serie-A
11/12,15:00,Fiorentina,4–0,Salernitana,18579,Stadio Artemio Franchi,Davide Ghersini,https://fbref.com/en/matches/2258a253/Fiorentina-Salernitana-December-11-2021-Serie-A
11/12,20:45,Udinese,1–1,Milan,16385,Dacia Arena,Francesco Fourneau,https://fbref.com/en/matches/083343fd/Udinese-Milan-December-11-2021-Serie-A
11/12,18:00,Venezia,1–1,Juventus,8350,Stadio Pierluigi Penzo,Paolo Valeri,https://fbref.com/en/matches/6a984333/Venezia-Juventus-December-11-2021-Serie-A
12/12,15:00,Hellas Verona,1–2,Atalanta,15000,Stadio Marc'Antonio Bentegodi,Juan Sacchi,https://fbref.com/en/matches/cd17ca07/Hellas-Verona-Atalanta-December-12-2021-Serie-A
12/12,20:45,Inter,4–0,Cagliari,33712,Stadio Giuseppe Meazza,Matteo Marchetti,https://fbref.com/en/matches/c5ba8fd5/Internazionale-Cagliari-December-12-2021-Serie-A
12/12,18:00,Napoli,0–1,Empoli,20000,Stadio Diego Armando Maradona,Livio Marinelli,https://fbref.com/en/matches/9b5a9479/Napoli-Empoli-December-12-2021-Serie-A
12/12,18:00,Sassuolo,2–1,Lazio,5100,Mapei Stadium - Città del Tricolore,Simone Sozza,https://fbref.com/en/matches/11d49a69/Sassuolo-Lazio-December-12-2021-Serie-A
12/12,12:30,Torino,2–1,Bologna,6562,Stadio Olimpico di Torino,Federico Dionisi,https://fbref.com/en/matches/1420ca0a/Torino-Bologna-December-12-2021-Serie-A
13/12,20:45,Roma,2–0,Spezia,44844,Stadio Olimpico,Alessandro Prontera,https://fbref.com/en/matches/33360771/Roma-Spezia-December-13-2021-Serie-A
17/12,18:30,Lazio,3–1,Genoa,6000,Stadio Olimpico,Luca Pairetto,https://fbref.com/en/matches/64553f59/Lazio-Genoa-December-17-2021-Serie-A
17/12,20:45,Salernitana,0–5,Inter,18000,Stadio Arechi,Maurizio Mariani,https://fbref.com/en/matches/41f59620/Salernitana-Internazionale-December-17-2021-Serie-A
18/12,15:00,Atalanta,1–4,Roma,14469,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati,https://fbref.com/en/matches/5eeacbbe/Atalanta-Roma-December-18-2021-Serie-A
18/12,18:00,Bologna,0–2,Juventus,22394,Stadio Renato Dall'Ara,Daniele Orsato,https://fbref.com/en/matches/b6bfc338/Bologna-Juventus-December-18-2021-Serie-A
18/12,20:45,Cagliari,0–4,Udinese,7864,Unipol Domus,Fabio Maresca,https://fbref.com/en/matches/eb7370d9/Cagliari-Udinese-December-18-2021-Serie-A
19/12,12:30,Fiorentina,2–2,Sassuolo,21514,Stadio Artemio Franchi,Marco Serra,https://fbref.com/en/matches/d5838c4d/Fiorentina-Sassuolo-December-19-2021-Serie-A
19/12,20:45,Milan,0–1,Napoli,54647,Stadio Giuseppe Meazza,Davide Massa,https://fbref.com/en/matches/e3029ebd/Milan-Napoli-December-19-2021-Serie-A
19/12,18:00,Sampdoria,1–1,Venezia,5735,Stadio Comunale Luigi Ferraris,Rosario Abisso,https://fbref.com/en/matches/3c52cd53/Sampdoria-Venezia-December-19-2021-Serie-A
